benchmark,method,seed,duration_seconds,phase,iteration,normalized_time,loss,objective,observed_objective,optimum_loss,instantaneous_regret,response_seconds,dataset_size,spatial_x
ackley,W-DBO,0,600.0,initial,10,0.003756986672370977,21.078343016227425,-21.078343016227425,-21.066049545594225,19.73421085071421,1.3441321655132157,0.0,11,12.060590756540165 -7.109028865337358 -23.353823678565682
ackley,W-DBO,0,600.0,initial,11,0.011258484166232175,21.153974295274367,-21.153974295274367,-20.992432073306777,19.820318644761887,1.3336556505124797,0.0,12,14.175253772421229 1.6226766384464568 -12.144519964226838
ackley,W-DBO,0,600.0,initial,12,0.019908106757182357,21.007202662610062,-21.007202662610062,-20.76998537503048,19.753667110799114,1.2535355518109483,0.0,13,-0.9065370347654991 24.927221398336016 27.77878502119998
ackley,W-DBO,0,600.0,initial,13,0.005766055224843686,21.446576177458812,-21.446576177458812,-21.59257602112703,20.08638839064929,1.3601877868095222,0.0,14,-9.101107410619505 4.5779091667047 -11.400358971139703
ackley,W-DBO,0,600.0,initial,14,0.0013005325266102403,20.42750393595699,-20.42750393595699,-19.996996828964015,19.26727452085054,1.1602294151064534,0.0,15,6.035201932780595 -10.373681567543471 -6.936383966197681
ackley,W-DBO,0,600.0,optimization,0,0.025,21.239373037815188,-21.239373037815188,-21.55136610675299,20.03223380331199,1.2071392345031988,2.7738718799992057,16,-0.9065358093061455 24.92720257986055 27.778779796805054
ackley,W-DBO,0,600.0,optimization,1,0.029623119799998675,21.913828000213876,-21.913828000213876,-22.07013466250945,19.1513233679204,2.7625046322934743,1.115485563999755,17,31.66984850168228 23.462346374988556 0.46484702825546265
ackley,W-DBO,0,600.0,optimization,2,0.031482262406664935,20.24100201999978,-20.24100201999978,-20.0200672479238,19.005737641965876,1.2352643780339037,2.444086064999283,18,6.340611871403077 -9.896846078127858 -6.95049704665912
ackley,W-DBO,0,600.0,optimization,3,0.03555573918166374,20.98272307051979,-20.98272307051979,-20.971132385462802,19.660704907624154,1.3220181628956347,3.3705863909999607,19,6.5312293209698 -9.804791139687545 -6.874570563001306
ackley,W-DBO,0,600.0,optimization,4,0.04117338316666368,20.457476385729553,-20.457476385729553,-19.98434858005298,19.862643398785263,0.5948329869442901,3.741464733000612,20,6.071083320967922 -10.190285108746007 -6.954379035666808
ackley,W-DBO,0,600.0,optimization,5,0.047409157721664694,20.790864081752105,-20.790864081752105,-20.746320532894682,18.911339154583203,1.8795249271689016,3.8344912040001873,21,5.63276947643017 -10.595454709991532 -7.028932881652764
ackley,W-DBO,0,600.0,optimization,6,0.05379997639499834,20.757748819803606,-20.757748819803606,-20.90736070555812,19.8930481455218,0.8647006742818064,3.0596018260002893,22,6.325120974551162 -9.941148656917747 -6.928976582047017
ackley,W-DBO,0,600.0,optimization,7,0.05889931277166549,20.113446647566672,-20.113446647566672,-20.20265782133618,19.346915090467288,0.766531557099384,2.7515483580000364,23,6.101146039831342 -10.194720076998234 -6.948097983945814
ackley,W-DBO,0,600.0,optimization,8,0.06348522670166555,20.075363856292096,-20.075363856292096,-20.333181215644213,18.828238523449727,1.2471253328423693,2.4186871809997683,24,5.979273770570117 -10.361943779200043 -6.9771398071548845
ackley,W-DBO,0,600.0,optimization,9,0.06751637200333183,20.77971793278785,-20.77971793278785,-21.08160978876871,19.56199383277618,1.2177241000116688,2.847423565999634,25,5.819863294861079 -10.594686471266417 -7.026728940469329
ackley,W-DBO,0,600.0,optimization,10,0.07226207794666455,21.07689951723963,-21.07689951723963,-20.927945107531674,19.65014273897789,1.4267567782617405,2.3336905599999227,26,6.637614479525347 -9.353502925558793 -6.829421435790312
ackley,W-DBO,0,600.0,optimization,11,0.0761515622133311,20.34701278683015,-20.34701278683015,-20.209694207143567,18.868348249634817,1.478664537195332,2.425452825999855,27,5.570241421664697 -11.11242262108679 -6.924983547058488
ackley,W-DBO,0,600.0,optimization,12,0.08019398358999752,20.779262746183086,-20.779262746183086,-20.473382781103304,18.851096910437374,1.9281658357457125,2.0265726889992948,28,5.3823925299963165 -11.608904962996274 -6.904908056093738
ackley,W-DBO,0,600.0,optimization,13,0.08357160473832967,20.711304236137607,-20.711304236137607,-20.889603429355603,19.49549509489755,1.215809141240058,2.8229291679999733,29,5.291861827106501 -11.804990746871958 -6.873988986600558
